Número atômico;Símbolo;1-Grupo;2-Grupo antigo;3-Período;4-Nome;5-Name;6-Massa atômica;7-Ponto de fusão °C;8-Ponto de ebulição °C;9-Densidade g/mL;10-Eletronegatividade;11-Primeiro potencial de ionização (eV) ;12-Segundo potencial de ionização (eV) ;13-Terceiro potencial de ionização (eV) ;14-Primeiro potencial de ionização (kJ/mol) ;15-Segundo potencial de ionização (kJ/mol) ;16-Terceiro potencial de ionização (kJ/mol) ;17-Afinidade eletrônica (eV);18-Afinidade eletrônica (kJ/mol);19-Estados comuns de oxidação;20-Íons normalmente formados;21-Configuração eletrônica prevista;22-Configuração eletrônica observada;23-Raio atômico (Å) ;24-Raio iônico (Å) ;25-Raio covalente (Å) ;26-Raio (2- ion) pm;27-Raio (1- ion) pm;28-Raio atômico (pm);29-Raio (1+ ion) pm;30-Raio (2+ ion) pm;31-Raio (3+ ion) pm;32-Volume atômico (cm^3/mol) ;33-Estrutura cristalina;34-Registro CAS;35-Condutividade elétrica (mho/cm) ;36-Calor específico (J/g K) ;37-Calor de fusão (kJ/mol) ;38-Calor de vaporização (kJ/mol) ;39-Condutividade térmica (W/(m K)) ;40-mg/kg na Crosta terrestre;41-mg/L nos oceanos;42-Porcentagem em massa no corpo humano;43-Notas;44-Fontes;45Cor;46-Características;47-Estrutura;48-Dureza (mohs);49-Usos;50-Reação com ar;51-Reação com água;52-Reação com HCl 6M;53-Reação com HNO3 15M;54-Reação com NaOH 6M;55-Hidretos;56-Óxidos;57-Cloretos;58-Polarização (A^3);59-Calor de atomização (kJ/mol);60-Ano de descoberta;61-Abundância relativa no sistema solar (log);62-Abundância relativa na crosta terrestre (log);63-Custo puro ($/100g);64-Custo contaminado ($/100g);65-Toxico?;66-Cancerígeno?;Séries químicas;Metais;Origem;Configuração eletrônica;Ultimo subnível;Estado físico;Tabela muda;Teste1;Teste2;;25
11;Na;1;I A;3;Sódio;sodium;22,98976928;97,8;883;0,971;0,93;5,1391;47,286;71,641;496;4562;6912;0,55;53;+1;+1;[Ne] 3s1;[Ne] 3s1;2,23;1,02;1,54;-;-;186;116;-;-;23,7;cúbica: corpo centrado;7440-23-5;0,21;1,23;2,598;96,96;141;0,000236;10800;0,14;-;Halita;prateado;soft;bcc: body-centered cubic;0,4;lamps, table salt;vigorosa, =>Na2O2;vigorosa, =>H2, NaOH;vigorosa, =>H2, NaCl;vigorosa, =>NaNO3, NOx;vigorosa, =>H2, NaOH;NaH;Na2O;NaCl;23,6;109;1807;4,758911892;4,4;7;-;-;-;2;1;1;1;1;1;;VERDADEIRO;VERDADEIRO;;
12;Mg;2;II A;3;Magnésio;magnesium;24,3055;649;1090;1,74;1,31;7,6462;15,035;80,143;738;1451;7733;<0;<0;+2;+2;[Ne] 3s2;[Ne] 3s2;1,72;0,72;1,36;-;-;160;-;86;-;13,97;hexagonal;7439-95-4;0,226;1,02;8,954;127,4;156;23300;1290;0,027;-;Magnesita;prateado;burns brightly;hcp: hexagonal close pkd;2;alloys, flash bulbs;vigorosa,w/ht =>MgO,Mg3N2;branda, w/ht =>Mg(OH)2, H2;branda, =>H2, MgCl2;vigorosa, =>NOx, Mg(NO3)2;nenhuma;MgH2;MgO;MgCl2;10,6;148;1808;6,031004281;4,4;3,7;0,32;-;-;2;2;1;1;1;1;;VERDADEIRO;VERDADEIRO;;
13;Al;13;III A;3;Alumínio;aluminum;26,9815385;660;2467;2,7;1,61;5,9858;18,828;28,447;578;1817;2745;0,44;42;+3;+3;[Ne] 3s2 3p1;[Ne] 3s2 3p1;1,82;0,54;1,18;-;-;143;-;-;67,5;10;cúbica: face centrada;7429-90-5;0,377;0,9;10,79;293,4;237;82300;0,002;0,00009;-;Bauxita;prateado;passivated: surface oxide;fcc: face-centered cubic;2,8;Al cans & foil,reflectors;branda, w/ht =>Al2O3;nenhuma;branda, =>H2, AlCl3;passiva;branda, =>H2, [Al(OH)4]-;AlH3;Al2O3;AlCl3Al2Cl6;8,3;326;1825;4,92890769;4,9;1,8;0,12;-;não;2;6;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
14;Si;14;IV A;3;Silício;silicon;28,085;1410;2355;2,33;1,9;8,1517;16,345;33,492;787;1577;3231;1,39;134;±4;?4;[Ne] 3s2 3p2;[Ne] 3s2 3p2;1,46;0,26;1,11;-;-;117,6;-;-;-;12,1;cúbica: face centrada;7440-21-3;2,52E-12;0,71;50,55;384,22;148;282000;2,2;0,026;-;Quartzo;cinza-preto;semimetal;diamond ;7;comp chip,lubricant,glass;branda, =>SiO2;nenhuma;nenhuma;nenhuma;branda, =>silicatos;SiH4 Si2H6 + outros;SiO2;SiCl4 Si2Cl6 + outros;5,4;452;1824;6;5,5;5,4;0,14;-;não;1;;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
15;P;15;V A;3;Fósforo;phosphorus;30,973762;44,1;280;1,82;2,19;10,4867;19,725;30,18;1012;1903;2912;0,75;72;?3;?3;[Ne] 3s2 3p3;[Ne] 3s2 3p3;1,23;0,17;1,06;-;-;110;-;-;58;17;monoclínico;7723-14-0;1E-17;0,77;0,657;12,129;0,235;1050;0,06;1,1;branco;Apatita;branco-amarelado;(P4) pyrophoric, 15 forms;special: P4 tetrahedra;0,5;fertilizer, detergents;vigorosa,=>P4O10, inflamável;nenhuma;nenhuma;branda, =>NOx;branda, =>PH3, inflamável;PH3 P2H4 + outros;P4O10 P4O6;PCl3 PCl5 P2Cl4;3,6;315;1669;4,017033339;3;4;-;sim;não;5;;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
16;S;16;VI A;3;Enxofre;sulfur;32,0675;112,8;444,7;2,07;2,58;10,36;23,33;34,83;1000;2251;3361;2,08;201;?2;?2;[Ne] 3s2 3p4;[Ne] 3s2 3p4;1,09;0,29;1,02;170;-;103;-;-;-;15,5;ortorrômbico;7704-34-9;5E-24;0,71;1,7175;-;0,269;350;905;0,2;amarelo;Pirita;amarelo(pálido);(S8)brittle, 19 forms;S8 rings;2;rubber, batteries (H2SO4);vigorosa, w/ht =>SO2;nenhuma;nenhuma;branda, =>H2SO4, NOx;nenhuma;H2S;SO2 SO3;S2Cl2 SCl2;2,9;279;-;5,711807229;2,4;24;-;-;-;5;;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
17;Cl;17;VII A;3;Cloro;chlorine;35,4515;-101;-34,6;0,00321;3,16;12,9676;23,81;39,611;1251;2297;3822;3,61;348;?1;?1;[Ne] 3s2 3p5;[Ne] 3s2 3p5;0,97;1,81;0,99;-;167;100;-;-;-;16,9;ortorrômbico;7782-50-5;-;0,48;3,23;10,2;0,0089;145;19400;0,12;-;Halita;amarelo esverdeado;diatomic(Cl2), corrosive;layers of Cl2;-;bleach (NaOCl), PVC pipe;nenhuma;branda,=>HOCl, Cl-, Cl2(aq);branda, =>HOCl, Cl-;branda, =>HClOx, NOxCl, NOx;branda, =>OCl-, Cl-;HCl;Cl2O ClO2 Cl2O7;Cl2;2,2;121;1774;3,719331287;2,1;0,15;-;sim;não;3;;1;1;2;3;;FALSO;FALSO;;
18;Ar;18;VIII A;3;Argônio;argon;39,948;-189,2;-185,7;0,00178;-;15,7596;27,629;40,74;1521;2666;3931;<0;<0;0;-;[Ne] 3s2 3p6;[Ne] 3s2 3p6;0,88;-;0,98;-;-;98;-;-;-;23,9;cúbica: face centrada;7440-37-1;-;0,52;1,188;6,447;0,01772;3,5;0,45;-;-;Ar;incolor;Inert;fcc: face-centered cubic;-;lasers, light bulbs;nenhuma;nenhuma;nenhuma;nenhuma;nenhuma;nenhum;nenhum;nenhum;1,586;0;1894;5,004321374;0,5;0,5;-;não;não;4;;1;1;2;3;;FALSO;FALSO;;
19;K;1;I A;4;Potássio;potassium;39,0983;63,25;760;0,86;0,82;4,3407;31,625;45,72;419;3051;4411;0,5;48;+1;+1;[Ar] 4s1;[Ar] 4s1;2,77;1,51;2,03;-;-;227;152;-;-;45,46;cúbica: corpo centrado;7440-09-7;0,139;0,75;2,334;79,87;102,4;20900;399;0,2;-;Carnalita;prateado-branco;soft;bcc: body-centered cubic;0,5;fertilizer, low-Na salt;vigorosa, =>KO2;vigorosa, =>H2, KOH;vigorosa, =>H2, KCl;vigorosa, =>H2, NOx, KNO3;vigorosa, =>H2, KOH;KH;K2O;KCl;43,4;90;1807;3,57634135;4,3;85;-;-;-;2;1;1;1;1;1;;VERDADEIRO;VERDADEIRO;;
20;Ca;2;II A;4;Cálcio;calcium;40,078;839;1484;1,55;1;6,1132;11,871;50,908;590;1145;4912;0,04;4;+2;+2;[Ar] 4s2;[Ar] 4s2;2,23;1;1,74;-;-;197;-;114;-;25,9;cúbica: face centrada;7440-70-2;0,298;0,63;8,54;153,3;200;41500;412;1,4;-;Calcita;prateado-branco;burns brightly;hcp: hexagonal close pkd;1,5;lime, cement;vigorosa, =>CaO, Ca3N2;branda, =>H2, Ca(OH)2;vigorosa, =>H2, CaCl2;vigorosa, =>H2, Ca(NO3)2;nenhuma;CaH2;CaO;CaCl2;22,8;178;1808;4,78604121;4,65;11;-;-;-;2;2;1;1;1;1;;VERDADEIRO;VERDADEIRO;;
21;Sc;3;III B;4;Escândio;scandium;44,955908;1541;2832;2,99;1,36;6,5614;12,8;24,76;633;1235;2389;0,19;18;+3;+3;[Ar] 4s2 3d1;[Ar] 4s2 3d1;2,09;0,75;1,44;-;-;162;-;-;88,5;15;hexagonal;7440-20-2;0,0177;0,6;14,1;314,2;15,8;22;0,0000006;-;-;-;prateado-branco;soft;hcp: hexagonal close pkd;-;no significant uses;vigorosa, =>Sc2O3;branda, =>H2, Sc(OH)3;branda, =>H2, ScCl3;branda, =>Sc(NO3)3;-;ScH2 ScH3;Sc2O3;ScCl3;17,8;378;1879;1,534026106;1,3;1400;-;-;-;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
22;Ti;4;IV B;4;Titânio;titanium;47,867;1660;3287;4,54;1,54;6,8282;13,58;27,491;659;1310;2652;0,08;8;+4,3,2;+4,3,2;[Ar] 4s2 3d2;[Ar] 4s2 3d2;2;0,61;1,32;-;-;147;-;100;81;10,64;hexagonal;7440-32-6;0,0234;0,52;15,45;421;21,9;5650;0,001;-;-;Ilmenita;cinza;max strength/weight ratio;hcp: hexagonal close pkd;-;steel,white pigment(TiO2);branda, w/ht =>TiO2, TiN;nenhuma;nenhuma;passiva;nenhuma;TiH2;TiO Ti2O3 TiO2 + outros;TiCl2 TiCl3 TiCl4;14,6;470;1791;3,380211242;3,8;6,1;-;-;-;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
23;V;5;V B;4;Vanádio;vanadium;50,9415;1890;3380;6,11;1,63;6,7463;14,65;29,31;651;1414;2828;0,53;51;+5,2,3,4;+5,2,3,4;[Ar] 4s2 3d3;[Ar] 4s2 3d3;1,92;0,54;1,22;-;-;134;-;93;78;8,78;cúbica: corpo centrado;7440-62-2;0,0489;0,49;20,9;0,452;30,7;120;0,0025;-;-;U, Pb vanadates (misc);brilhante branco;soft;bcc: body-centered cubic;-;tool steel, V2O5 catalyst;branda, w/ht =>V2O5, VN;nenhuma;nenhuma;branda;nenhuma;VH VH2;VO V2O3 VO2 V2O5;VCl2 VCl3 VCl4;12,4;514;1830;2,46686762;2,1;220;-;sim;-;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
24;Cr;6;VI B;4;Cromo;chromium;51,9961;1857;2672;7,19;1,66;6,7666;16,5;30,96;653;1592;2987;0,67;65;+3,2,6;+3,2,6;[Ar] 4s2 3d4;[Ar] 4s1 3d5;1,85;0,62;1,18;-;-;128;-;90,5;75,5;7,23;cúbica: corpo centrado;7440-47-3;0,0774;0,45;16,9;344,3;93,7;102;0,0003;0,000003;-;Cromita;prateado-branco;hard;bcc: body-centered cubic;9;CrO2 tape, paint, steel;nenhuma;nenhuma;branda, =>H2, CrCl3;passiva;-;CrH;Cr2O3 CrO2 CrO3 + não estequiométricos;CrCl2 CrCl3;11,6;397;1798;4,130333768;2;10;-;-;-;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
25;Mn;7;VII B;4;Manganês;manganese;54,938044;1244;1962;7,43;1,55;7,434;15,64;33,667;717;1509;3248;<0;<0;+2,3,4,6,7;+2,3,4,6,7;[Ar] 4s2 3d5;[Ar] 4s2 3d5;1,79;0,67;1,17;-;-;127;-;89;75,3;7,39;cúbica: corpo centrado;7439-96-5;0,00695;0,48;12,05;266;7,82;950;0,0002;0,00002;-;Pyrolusite,psilomelane(oxide);cinza-branco;hard, brittle;special:complex (cubic);5;steel, dry cells(MnO2);branda, w/ht =>Mn3O4, Mn3N2;nenhuma;branda, =>H2, MnCl2;branda, =>Mn(NO3)2, NOx;-;nenhum;MnO Mn3O4 Mn2O3 MnO2 Mn2O7;MnCl2;9,4;281;1774;3,980003372;3;1,7;-;-;não;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
26;Fe;8;VIII B;4;Ferro;iron;55,845;1535;2750;7,86;1,83;7,9024;16,18;30,651;762;1561;2957;0,151;15;+3,2;+3,2;[Ar] 4s2 3d6;[Ar] 4s2 3d6;1,72;0,55;1,17;-;-;126;-;83,5;73,8;7,1;cúbica: corpo centrado;7439-89-6;0,0993;0,44;13,8;349,6;80,2;56300;0,002;0,006;-;Hematita;cinza;fairly soft when pure;bcc: body-centered cubic;4,5;steel;branda, =>Fe3O4;nenhuma;branda, =>H2, FeCl2;passiva;-;nenhum;FeO Fe3O4 Fe2O3;FeCl2 FeCl3;8,4;418;-;5,954242509;4,8;6,7;0,021;-;-;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
27;Co;9;VIII B;4;Cobalto;cobalt;58,933194;1495;2870;8,9;1,88;7,881;17,06;33,5;760;1646;3232;0,66;64;+2,3;+2,3;[Ar] 4s2 3d7;[Ar] 4s2 3d7;1,67;0,65;1,16;-;-;125;-;83,8;71,8;6,7;hexagonal;7440-48-4;0,172;0,42;16,19;376,5;100;25;0,00002;0,000002;-;Sulfetos de cobalto;branco azulado;hard;hcp: hexagonal close pkd;-;magnets, Co glass (blue);branda, w/ht =>Co3O4;nenhuma;branda, =>H2, CoCl2;vigorosa, =>Co(NO3)2, NOx;-;nenhum;CoO Co3O4;CoCl2;7,5;425;1737;3,352182518;1,4;21;-;-;sim;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
28;Ni;10;VIII B;4;Níquel;nickel;58,6934;1453;2730;8,9;1,91;7,6398;18,168;35,17;737;1753;3393;1,16;112;+2,3;+2,3;[Ar] 4s2 3d8;[Ar] 4s2 3d8;1,62;0,69;1,15;-;-;124;-;83;72;6,59;cúbica: face centrada;7440-02-0;0,143;0,44;17,47;370,4;90,7;84;5,6E-14;0,00001;-;Sulfetos de níquel;prateado-branco;hard, takes a high polish;fcc: face-centered cubic;-;alloys, coins, batteries;branda, w/ht =>NiO;nenhuma;branda, =>H2, NiCl2;passiva;nenhuma;NiH;NiO;NiCl2;6,8;430;1751;4,692846919;1,9;7,7;0,76;sim;sim;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
29;Cu;11;I B;4;Cobre;copper;63,546;1083;2567;8,96;1,9;7,7264;20,292;36,83;745;1958;3554;1,24;120;+2,1;+2,1;[Ar] 4s2 3d9;[Ar] 4s1 3d10;1,57;0,73;1,17;-;-;128;91;87;68;7,1;cúbica: face centrada;7440-50-8;0,596;0,38;13,05;300,3;401;60;2,5E-14;0,0001;-;Pirita;alaranjado;soft, ductile;fcc: face-centered cubic;2,75;wire, bronze, coins;branda, w/ht =>CuO, Cu2O;nenhuma;nenhuma;branda, =>Cu(NO3)2, NOx;-;CuH;Cu2O CuO;CuCl CuCl2;6,7;338;-;2,717670503;1,7;2,7;0,24;-;não;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
30;Zn;12;II B;4;Zinco;zinc;65,38;419,6;906;7,13;1,65;9,3941;17,964;39,722;906;1733;3833;<0;<0;+2;+2;[Ar] 4s2 3d10;[Ar] 4s2 3d10;1,53;0,74;1,25;-;-;134;-;88;-;9,2;hexagonal;7440-66-6;0,166;0,39;7,322;115,3;116;70;0,0049;0,0033;-;Sphalerite (sulfide);prateado;brittle;distorted hcp structure;2,5;batteries, galvanizing;vigorosa, =>ZnO;nenhuma;branda, =>H2, ZnCl2;vigorosa, =>Zn(NO3)2, NOx;branda, =>[Zn(OH)4](2-), H2;ZnH2;ZnO;ZnCl2;6,4;131;1600;3,100370545;1,79;3,7;0,12;-;não;2;3;1;3;3;1;;VERDADEIRO;VERDADEIRO;;
31;Ga;13;III A;4;Gálio;gallium;69,723;29,8;2403;5,9;1,81;5,9993;20,51;30,71;579;1979;2963;0,3;29;+3;+3;[Ar] 4s2 3d10 4p1;[Ar] 4s2 3d10 4p1;1,81;0,62;1,26;-;-;135;-;-;76;11,8;ortorrômbico;7440-55-3;0,0678;0,37;5,59;258,7;40,6;19;0,00003;-;-;Bauxita;azul prateado;melts near r.t.wets glass;special: complex;1,5;photocells, transistors;branda, =>Ga2O3;nenhuma;branda, =>GaCl3, H2;-;branda, =>[Ga(OH)4]2-, H2;GaH3;Ga2O3;GaCl Ga2Cl6;8,1;286;1875;1,5774918;1,2;220;-;-;-;2;6;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
32;Ge;14;IV A;4;Germânio;germanium;73,63;947,4;2830;5,32;2,01;7,9;15,934;34,22;762;1537;3302;1,23;119;+4,2;+4,2;[Ar] 4s2 3d10 4p2;[Ar] 4s2 3d10 4p2;1,52;0,53;1,22;-;-;122,3;-;87;-;13,6;cúbica: face centrada;7440-56-2;1,45E-08;0,32;36,94;330,9;59,9;1,5;0,00005;-;-;Zn smelting by-product;cinza-escuro;semimetal, brittle;diamond;-;transistor, wide-ang lens;branda, w/ht =>GeO2;nenhuma;nenhuma;branda, =>Ge(IV), NOx;nenhuma;GeH4 Ge2H6 + outros;GeO GeO2;GeCl2 GeCl4;6,1;377;1886;2,075546961;0,7;360;-;-;-;1;;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
33;As;15;V A;4;Arsênio;arsenic;74,921595;817;617;5,73;2,18;9,8152;18,633;28,351;947;1798;2735;0,81;78;±3,+5;?3;[Ar] 4s2 3d10 4p3;[Ar] 4s2 3d10 4p3;1,33;0,58;1,2;-;-;120;-;-;72;13,1;romboédrico;7440-38-2;0,0345;0,33;-;34,76;50;1,8;0,0037;-;sublima (28 atm) ;Arsenopyrite, enargite (misc);cinza;semimetal,brittle,3 forms;rhombohedral;3,5;photocells (GaAs), poisons;branda, w/ht =>As4O6;nenhuma;nenhuma;branda, w/ht =>H3AsO4, NOx;nenhuma;AsH3;As2O3;AsCl3 AsCl5;4,3;302;1600;0,816903839;0,3;320;-;-;sim;1;;1;1;2;1;;VERDADEIRO;VERDADEIRO;;
